WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,Tot
DB,6970,Hamlin,7x,15x,6x,0b,7*,35
DB,2337,Harrison,6*,7*,3*,6*,9 ,31
DB,3977,Jackson,3x,2x,13x,19x,5*,42
DB,3390,Schulters,7*,3*,4*,2*,6x,22
DB,2669,Thomas,3 ,5 ,7x,4x,9x,28
,,Starter Points = ,86,88,70,72,100
,,Potential Points = ,93,100,87,86,122
,,Offensive Points = ,51,58,50,48,66
,,Defensive Points = ,35,30,20,24,34
,,Total Points For = ,19,16,25,26,36

Freezer Burn
,,Player/Week,1,2,3,4,5,Tot
HC,1560,Reeves,4*,0*,0*,0*,0*,4
QB,5817,Bulger,0 ,10 ,8 ,19 ,0b,37
QB,3250,Holcomb,-4 ,2x,11x,0x,0x,9
QB,1434,Maddox,19 ,6*,6*,0*,-6*,25
QB,4891,Vick,0 ,0 ,0 ,0 ,0 ,0
RB,1054,Bettis,0 ,0x,6x,0x,6x,12
RB,6524,Green,2*,-2*,0 ,-2*,6 ,4
RB,5541,Mack,3 ,0 ,2 ,4 ,0b,9
RB,6456,Shipp,0 ,0x,0x,0x,0x,0
RB,4895,Tomlinson,1*,7*,19*,32*,-2*,57
RB,2692,Williams,2 ,15 ,10*,0 ,14*,41
WR,2986,Mason,15 ,9*,0*,0*,8*,32
WR,2705,Owens,8*,7*,7*,1*,8*,31
WR,3917,Price,0*,0 ,2 ,1 ,24 ,27
TE,1827,Fauria,0x,13x,1x,1 ,1*,16
TE,4924,Heap,5*,0*,8*,2*,0b,15
K ,3579,Akers,0*,6*,0b,11 ,11*,28
K ,1641,Stover,1x,13 ,7*,4x,0b,25
Off,601,Buffalo,4x,8 ,0*,2x,1x,15
Off,611,Denver,13x,13x,13x,0*,14*,53
Off,618,Philadelphia,3*,-4*,0b,11x,4x,14
Off,625,Tampa Bay,5x,2x,8 ,0b,9 ,24
DL,6517,Henderson,4 ,3 ,4*,9*,1 ,21
DL,2635,Rice,9*,14*,3*,0b,3*,29
DL,3902,Rucker,11*,5*,0b,9*,4*,29
LB,1900,Barrow,12x,17x,5x,0b,3*,37
LB,3549,Fletcher,7*,4*,3*,7*,6*,27
LB,5033,Hartwell,6 ,4 ,4 ,5 ,0b,19
LB,3154,McKinnon,3x,7x,0x,8 ,9x,27
LB,2937,Sharper,4*,9*,4*,5*,0b,22
DB,3905,Bly,23*,6*,13*,9*,10*,61
