WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
Off,615,Seattle,7*,8*,0*,0b,5*,6*,6*,4*,0x,4x,13x,2x,7x,1x,6x,69
DL,4938,Jenkins,5 ,3*,0b,6 ,3*,2 ,1 ,6 ,3x,8x,8x,0x,4x,2x,2x,53
DL,3331,Mixon,5x,2x,4x,4x,13 ,0b,5*,3*,4*,2*,4*,1*,4*,1*,2*,54
DL,6510,Peppers,5*,0*,0b,3*,2*,1*,10 ,6*,3 ,2*,2*,5*,2*,7*,9*,57
DL,4894,Smith,2*,2 ,0*,7x,5x,0b,3x,5x,3x,2x,1x,4x,3x,6x,2x,45
DL,6934,Sullivan,2 ,3 ,0x,0x,3x,2x,1x,2x,1x,0b,0x,5x,1x,1x,0x,21
DL,5535,Whitehead,5x,11x,6*,0*,5*,2*,4*,5 ,16*,0b,0 ,0 ,0 ,0 ,0 ,54
LB,6957,Barnett,1 ,17 ,15*,5*,13*,7*,5*,0b,5*,3*,15*,2*,0*,3 ,9 ,100
LB,3975,Colvin,4*,1*,0 ,0 ,0x,0x,0x,0x,0x,0b,0x,0x,0x,0x,0x,5
LB,6531,Harris,5x,6x,4x,9x,7 ,5 ,1 ,0b,6 ,6 ,11x,4x,5x,7x,7x,83
LB,5665,Peterson,6 ,12*,9*,2*,4 ,8 ,12*,5*,6*,0b,3 ,10 ,0*,15*,4*,96
LB,5716,Simoneau,3x,7x,0b,6x,9x,6x,13x,9*,5 ,9*,4*,8 ,7 ,2*,5*,93
LB,3349,Trotter,7x,4x,5x,7x,12 ,4*,3 ,0b,11 ,4 ,5 ,6*,12 ,8 ,13 ,101
DB,4931,Bashir,5x,3x,8x,4 ,0x,12x,0b,7x,3x,0x,0x,0x,0x,0x,0x,42
DB,5688,Brown,8 ,2x,0b,3x,4x,8x,8x,3x,3x,2x,6x,3x,3x,3x,10x,66
DB,6986,Doss,7x,3x,8x,6x,13 ,5 ,0b,4*,1*,7*,2*,3*,8*,9*,2*,78
DB,6788,Russell,10x,7x,10x,9x,9 ,0b,8 ,0 ,4*,7 ,9 ,9 ,16 ,3 ,3 ,104
DB,5734,Wesley,8*,9*,2*,13*,4*,10*,6*,7*,0b,9*,9*,3*,11*,4*,7*,102
DB,6553,Williams,4*,1*,4*,4*,9*,7*,0*,0 ,0b,3x,4x,4x,3x,4x,4x,51
,,Starter Points = ,90,64,67,145,128,96,63,108,108,130,95,58,94,110,148
,,Potential Points = ,130,94,78,167,165,118,92,111,120,138,109,97,143,121,162
,,Offensive Points = ,67,38,31,118,92,65,31,74,72,98,59,38,69,72,119
,,Defensive Points = ,23,26,36,27,36,31,32,34,36,32,36,20,25,38,29
,,Total Points For = ,43,6,0,93,65,25,0,46,41,67,21,14,13,35,67

Whiskey Tango
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,1669,Tice,3*,4*,4*,5*,4*,0B,3*,0*,0*,0*,0*,4*,0*,5*,0*,32
