WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
WR,5657,Burress,7*,14*,1*,0*,0*,1*,0b,0*,2 ,0 ,5*,0*,7*,6*,0 ,43
WR,4946,Chambers,22x,3x,7x,0b,0x,0x,4x,8x,6*,0*,0 ,0x,22 ,0*,3 ,75
WR,2638,Glenn,0x,7x,0b,0x,10x,1x,21*,-2*,14*,0*,0 ,2*,3*,0 ,0 ,56
WR,2650,Moulds,2*,16*,0*,9*,8*,0 ,0*,2 ,0b,1 ,0 ,0 ,1 ,0 ,0 ,39
WR,1566,Rice,0 ,0 ,0 ,8 ,0 ,0 ,2x,0b,3x,0x,0x,6x,0x,0x,6x,25
WR,6930,Rogers,12x,0x,2x,6x,0x,0b,0x,0x,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20
WR,4035,Streets,6 ,6 ,0 ,8 ,0 ,2*,6 ,0 ,6 ,0b,0*,0x,0x,6x,10x,50
TE,2946,Jones,9x,2x,1x,0x,2 ,9*,0b,1*,8*,2*,1*,1*,3*,1*,1 ,41
TE,2895,Pollard,-1*,1*,0 ,2*,1x,1x,0b,8x,1x,10x,0x,0x,8x,1x,1x,33
TE,3339,Ricks,1x,1x,1x,0x,9x,0b,0*,7x,0x,0x,2x,2x,1x,1x,2x,27
TE,6575,Schobel,5x,0 ,0x,0x,0x,0b,5x,0x,1x,1x,0x,0x,6x,1x,1x,20
TE,6536,Stevens,0 ,0x,0x,0b,0x,0x,0x,0x,0x,0x,0x,0x,1x,0x,0x,1
K ,5822,Edinger,1x,9x,0b,12x,13x,7x,12x,6*,8x,5x,3x,16x,4x,3x,7x,106
K ,5666,Janikowski,10*,12*,5*,11*,15*,1*,4*,0b,9*,6*,4*,7*,8*,1*,8 ,101
Off,623,Green Bay,4x,17 ,5*,16*,11*,11*,5*,0b,19*,16*,16*,17*,0*,6*,6 ,149
Off,625,Tampa Bay,5x,2x,8x,0b,9x,7x,1x,4*,0x,0x,6x,2x,2x,3x,13x,62
Off,608,Tennessee,2*,-1*,3x,2x,3x,5x,5x,11x,0b,7x,1x,8x,0x,3x,1x,50
DL,4897,Carter,3*,3*,3*,2*,2*,5*,7x,3x,0x,0b,3x,4x,1x,4x,4x,44
DL,5798,Gbaja-Biamila,10 ,0 ,2 ,8 ,2*,3 ,4 ,0b,5x,2x,7x,5x,2x,5x,1x,56
DL,3880,Kearse,4x,3x,0x,6x,10x,3x,8x,2x,0b,9*,0*,0 ,0 ,0 ,1 ,46
DL,3344,Little,10*,4*,12*,7*,0b,5*,10*,5*,0*,0 ,0 ,0 ,21 ,10*,4 ,88
DL,2969,Taylor,0x,1x,0x,0b,2x,18 ,6*,12*,4*,2*,6*,7*,15*,5*,5 ,83
DL,6937,Williams,2x,0x,2x,6x,2x,0b,4x,6x,6x,1x,9x,2*,1*,3 ,5 ,49
LB,5651,Arrington,6*,9*,13*,5*,5*,5*,14*,0b,9*,5*,4*,2*,2 ,11 ,13 ,103
LB,3384,Barber,5x,10x,5x,5x,8x,11x,15 ,4*,0b,8 ,7*,8 ,7*,7*,7 ,107
LB,4933,Bell,11 ,3 ,7 ,6*,9 ,3 ,0b,5x,7x,6x,8x,7x,6x,7x,9x,94
LB,3300,Brooking,3x,8x,8x,4x,7x,11x,1x,0b,5x,8x,11x,12x,9*,9*,11 ,107
LB,1914,Brooks,5*,4*,3*,0b,5*,23*,7*,7*,8*,5*,4 ,1*,9 ,15 ,2 ,98
LB,3895,Wilson,6 ,7 ,4 ,7 ,6 ,5 ,7x,9x,6x,0b,4x,8x,3x,3x,7x,82
DB,2965,Barber,5 ,4*,5*,0b,22 ,8 ,10 ,20 ,7*,3*,9*,3*,4 ,4 ,3 ,107
DB,3176,Knight,5*,6*,6*,0b,5*,6*,4*,4*,1*,6 ,8 ,6 ,11*,11*,3 ,82
DB,3887,Winfield,5x,8x,10x,10*,11 ,7*,7*,8*,0b,7*,9*,9*,4*,6*,9 ,110
DB,1740,Woodson,4*,0 ,8 ,4*,5*,5x,5x,0b,6x,5x,11x,1x,0x,0x,0x,54
,,Starter Points = ,89,114,70,82,105,88,126,74,101,67,78,70,109,77,0
,,Potential Points = ,108,117,96,103,135,93,147,114,129,104,108,111,157,92,98
,,Offensive Points = ,56,84,28,48,81,37,78,34,72,36,43,46,62,29,0
,,Defensive Points = ,33,30,42,34,24,51,48,40,29,31,35,24,47,48,0
,,Total Points For = ,25,44,0,9,45,0,68,0,55,0,7,26,29,0,0

